id	top1_name	top1_weight	top2_name	top2_weight	top3_name	top3_weight	compensated_heavy	compensated_mid	compensated_light	premium_count	top_necessities_summary
0	Staple Groceries	1	Hygiene & Cleaning	0.25	Pharmacy & Supplements	0.15	1	0	0	0	Staple Groceries×1, Hygiene & Cleaning×0.25, Pharmacy & Supplements×0.15
1	Gardening	1.5	Drinks, Alcohol & Snacks	1	Small Electronics	0.5	1	0.25	0	0	Gardening×1.5, Drinks, Alcohol & Snacks×1, Small Electronics×0.5
2	Staple Groceries	1	Drinks, Alcohol & Snacks	0.75	Hygiene & Cleaning	0.5	1	0.5	0	0	Staple Groceries×1, Drinks, Alcohol & Snacks×0.75, Hygiene & Cleaning×0.5
3	Staple Groceries	1	Baby & Child Care	0.65	Hygiene & Cleaning	0.5	0.9	0.1	0	0	Staple Groceries×1, Baby & Child Care×0.65, Hygiene & Cleaning×0.5
4	Pharmacy & Supplements	0.6	Hygiene & Cleaning	0.25	Gardening	0.15	1	0.1	0	0	Pharmacy & Supplements×0.6, Hygiene & Cleaning×0.25, Gardening×0.15
5	Drinks, Alcohol & Snacks	1	Staple Groceries	0.25	Hygiene & Cleaning	0.25	1	0.25	0	0	Drinks, Alcohol & Snacks×1, Staple Groceries×0.25, Hygiene & Cleaning×0.25
6	Baby & Child Care	1	Hygiene & Cleaning	0.5	Drinks, Alcohol & Snacks	0.5	1	0.15	0.01	0	Baby & Child Care×1, Hygiene & Cleaning×0.5, Drinks, Alcohol & Snacks×0.5
7	Baby & Child Care	1	Drinks, Alcohol & Snacks	1	Staple Groceries	0.5	1	0.15	0	0	Baby & Child Care×1, Drinks, Alcohol & Snacks×1, Staple Groceries×0.5
8	Baby & Child Care	1	Hygiene & Cleaning	0.5	Drinks, Alcohol & Snacks	0.5	1	0.2	0	0	Baby & Child Care×1, Hygiene & Cleaning×0.5, Drinks, Alcohol & Snacks×0.5
9	Baby & Child Care	1	Drinks, Alcohol & Snacks	1	Pharmacy & Supplements	0.25	1	0.15	0	0	Baby & Child Care×1, Drinks, Alcohol & Snacks×1, Pharmacy & Supplements×0.25
