id	name_en	name_zhHant	brand	group_en	group_zhHant	basePrice	tier	tierName	category_en	maxItemsPerBox	isStackable	containerClass	boxClass	hasTrueCollider	colX	colY	colZ	trueX	trueY	trueZ
0	Pasta Penne	通心粉	Panzati	Basic Products	基本產品s	1.35	0	0-5	Basic Products I	30	False	0	0	False	0.16256179	0.2584979	0.11295802	0.1	0.1	0.1
1	Water Bottle	瓶装水	Montcuq	Basic Products	基本產品s	0.89	0	0-5	Basic Products I	30	False	0	0	False	0.08749385	0.2678936	0.08749385	0.1	0.1	0.1
2	Honey Cereals	蜂蜜穀物	Honey Bees	Basic Products	基本產品s	2.5	0	0-5	Basic Products I	20	False	0	0	False	0.19197002	0.28061223	0.061069675	0.1	0.1	0.1
3	Rice	米	Elo	Basic Products	基本產品s	1.45	0	0-5	Basic Products I	30	False	0	0	False	0.13208261	0.19307181	0.08962737	0.1	0.1	0.1
4	Salt	鹽	Labalaine	Basic Products	基本產品s	0.45	0	0-5	Basic Products I	50	False	0	0	False	0.056200575	0.13749473	0.056175422	0.1	0.1	0.1
5	Sugar	糖	Daron	Basic Products	基本產品s	1.49	0	0-5	Basic Products I	40	False	0	0	False	0.12559387	0.19698344	0.07262842	0.1	0.1	0.1
6	Margarine	人造奶油	Etron	Basic Products	基本產品s	2.1	1	6-12	Basic Products II	25	True	1	0	False	0.17507464	0.09588805	0.17506427	0.1	0.1	0.1
7	Flour	麵粉	Kraftung	Basic Products	基本產品s	0.9	1	6-12	Basic Products II	25	False	0	0	False	0.17893803	0.2435627	0.116426826	0.1	0.1	0.1
8	Apple Juice	蘋果汁	Bio	Basic Products	基本產品s	1.85	1	6-12	Basic Products II	40	False	0	0	False	0.08712542	0.220872	0.08712542	0.1	0.1	0.1
9	Olive Oil	橄欖油	Tupiges	Basic Products	基本產品s	7.62	1	6-12	Basic Products II	40	False	0	0	False	0.092923135	0.25313008	0.092923135	0.1	0.1	0.1
10	Ketchup	番茄醬	Kekette	Basic Products	基本產品s	2.35	1	6-12	Basic Products II	40	False	0	0	False	0.062258895	0.1439076	0.041548163	0.1	0.1	0.1
11	Sliced Bread	切片麵包	Ron's	Basic Products	基本產品s	1.7	1	6-12	Basic Products II	30	False	0	0	False	0.16669054	0.36	0.16855302	0.1	0.1	0.1
12	Pepper	胡椒	Alei	Basic Products	基本產品s	1.17	1	6-12	Basic Products II	40	False	0	0	False	0.050279997	0.18863074	0.04901938	0.1	0.1	0.1
13	Orange Juice	柳橙汁	Bio	Basic Products	基本產品s	2	2	13-19	Basic Products III	40	False	0	0	False	0.08712542	0.220872	0.08712542	0.1	0.1	0.1
14	Barbacue Sauce	燒烤醬	HotHot	Basic Products	基本產品s	1.99	2	13-19	Basic Products III	40	False	0	0	False	0.062258895	0.1439076	0.041548163	0.1	0.1	0.1
15	Mustard Sauce	芥末醬	Maptite	Basic Products	基本產品s	2.45	2	13-19	Basic Products III	40	False	0	0	False	0.062258895	0.1439076	0.041548163	0.1	0.1	0.1
16	Spaghetti Box	義大利麵盒	Elo	Basic Products	基本產品s	1.55	2	13-19	Basic Products III	20	False	0	0	False	0.17680901	0.25845066	0.119977385	0.1	0.1	0.1
17	Tuna Pate	鮪魚醬	Stark	Basic Products	基本產品s	3.79	2	13-19	Basic Products III	30	True	0	0	False	0.17507464	0.09588805	0.17506427	0.1	0.1	0.1
18	Fiber Cereals	纖維穀物	Racoon	Basic Products	基本產品s	2.85	2	13-19	Basic Products III	30	False	0	0	False	0.19197002	0.28061223	0.061069675	0.1	0.1	0.1
19	Supreme Flour	特級麵粉	Aio	Basic Products	基本產品s	1.63	2	13-19	Basic Products III	30	False	0	0	False	0.17893803	0.2435627	0.116426826	0.1	0.1	0.1
